,0,1,2,3,4,5,6
0,1,PlayStation 2 (PS2),53.65,55.28,23.18,25.57,157.68
1,2,Nintendo DS (DS),57.39,52.07,33.01,12.43,154.90
2,3,Game Boy (GB),43.18,40.05,32.47,2.99,118.69
3,4,PlayStation 4 (PS4),38.14,48.09,9.36,19.99,115.58
4,5,PlayStation (PS),40.78,31.09,21.59,9.04,102.50
5,6,Wii (Wii),45.51,33.88,12.77,9.48,101.64
6,7,PlayStation 3 (PS3),29.42,34.99,10.47,12.53,87.41
7,8,Xbox 360 (X360),49.11,25.87,1.66,9.16,85.80
8,9,Nintendo Switch (NS),32.14,22.21,19.92,11.43,85.70
9,10,Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
10,11,PlayStation Portable (PSP),21.41,24.41,20.01,15.26,81.09
11,12,Nintendo 3DS (3DS),25.77,21.07,24.65,4.44,75.93
12,13,Nintendo Entertainment System (NES),33.49,8.30,19.35,0.77,61.91
13,14,Xbox One (XOne),32.13,12.39,0.12,5.46,50.10
14,15,Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.90,49.10
15,16,Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
16,17,Sega Genesis (GEN),16.98,8.39,3.58,0.59,29.54
17,18,Atari 2600 (2600),23.54,3.35,0.00,0.75,27.64
18,19,Xbox (XB),15.77,7.17,0.53,1.18,24.65
19,20,GameCube (GC),12.55,4.44,4.04,0.71,21.74
20,21,PlayStation Vita (PSV),2.64,5.24,5.92,2.41,16.21
21,22,Wii U (WiiU),6.23,3.54,3.33,0.87,13.97
22,23,GameGear (GG),5.40,3.23,1.78,0.21,10.62
23,24,Sega Saturn (SAT),1.83,1.12,5.80,0.07,8.82
24,25,PlayStation 5 (PS5),3.70,2.88,0.73,1.13,8.44
25,26,Dreamcast (DC),3.90,1.91,2.25,0.14,8.20
26,27,Xbox Series X/S (XS),2.78,1.47,0.05,0.71,5.01
27,28,Atari 7800 (7800),4.30,0.00,0.00,0.00,4.30
28,29,WonderSwan (WS),0.00,0.00,1.12,0.00,1.12
29,30,3DO Interactive Multiplayer (3DO),0.00,0.00,0.00,0.00,0.00
30,31,Neo Geo (NG),0.00,0.00,0.00,0.00,0.00
31,32,iOS (iOS),0.00,0.00,0.00,0.00,0.00
32,33,PC-FX (PCFX),0.00,0.00,0.00,0.00,0.00
33,34,Sega CD (SCD),0.00,0.00,0.00,0.00,0.00
34,35,Microsoft Windows (PC),0.00,0.00,0.00,0.00,0.00
35,36,TurboGrafx-16 (TG16),0.00,0.00,0.00,0.00,0.00
